"C00001","O"
"C11131","[C@@H]12[C@@H](c3c(CC2)cc(c(c3)OC)O[C@@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)C(=O)O)CC[C@]2([C@H]1CC[C@@H]2O)C"
"C11132","[C@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)C(=O)O)Oc1cc2c([C@@H]3[C@H]([C@H]4[C@](CC3)(C(=O)CC4)C)CC2)cc1OC"
"C11133","[C@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)C(=O)O)Oc1cc2c([C@@H]3[C@H]([C@H]4[C@](CC3)(C(=O)CC4)C)CC2)cc1"
"C11134","[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C"
"C11135","[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]1C[C@H]2[C@@]([C@@H]3[C@H]([C@H]4[C@](CC3)(C(=O)CC4)C)CC2)(CC1)C)O)O)O)C(=O)O"
"C11136","[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]1C[C@@H]2[C@@]([C@@H]3[C@H]([C@H]4[C@](CC3)(C(=O)CC4)C)CC2)(CC1)C)O)O)O)C(=O)O"
"C11142","S(=O)(=O)(C)C"
"C11143","S(=O)(C)C"
"C11145","O=S(=O)(C)O"
"C11148","C1(C(Cl)O1)(Cl)Cl"
"C11149","ClC(C(=O)O)Cl"
"C11150","C(C(=O)O)(Cl)(Cl)Cl"
"C11158","c1(=O)c2c(cc3n1Cc1c3nc3c(c1)c(c(cc3)O)CN(C)C)[C@](C(=O)OC2)(CC)O"
"C11173","c1(=O)c2c(cc3n1Cc1c3nc3c(c1CC)cc(cc3)O)[C@@](C(=O)OC2)(O)CC"
"C11174","O(P(=O)(O)O)P(=O)(O[C@@H]1[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]([C@H]1OP(=O)(O)O)OP(=O)(O)O)O"
"C11198","N(C(=O)C1CCCN1C(=O)C(CC(C)C)NC(=O)CNC(=O)C(C(O)C)NC(=O)C(C(O)C)NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(CCCCN)NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)CNC(=O)C(C(C)CC)NC(=O)CN)C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(Cc1c2c([nH]c1)cccc2)C(=O)NC(C(C)CC)C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)N)C(=O)NC(C(=O)N)CCC(=O)N)CCCNC(=N)N)CO)C(C)CC)CC(C)C)C"
"C11218","[C@@H]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC2=O)C(C)C)CCCN)CC(C)C)Cc1ccccc1)C(C)C)CCCN)CC(C)C)Cc1ccccc1"
"C11231","[C@H]12[C@]3([C@H](OC3)C[C@@H]([C@]2(C(=O)[C@@H](C2=C([C@H](C[C@@]([C@H]1OC(=O)c1ccccc1)(C2(C)C)O)OC(=O)[C@@H]([C@H](c1ccccc1)NC(=O)OC(C)(C)C)O)C)O)C)O)OC(=O)C"
"C11242","C(C[C@@H](CCC[C@@H](CCCC(C)C)C)C)C/C(=C/COC(=O)CC[C@@H]1C2=NC(=Cc3n4[Mg]n5c6=C2[C@H](C(=O)c6c(c5=CC2=NC(=Cc4c(c3C)C(=O)C)[C@@H]([C@H]2CC)C)C)C(=O)OC)[C@H]1C)/C"
"C11243","C(C[C@@H](CCC[C@@H](CCCC(C)C)C)C)C/C(=C/COC(=O)CC[C@@H]1C2=NC(=Cc3n4[Mg]n5c6=C2[C@H](C(=O)c6c(c5=CC2=NC(=Cc4c(c3C)C(=O)C)[C@@H](/C/2=C/C)C)C)C(=O)OC)[C@H]1C)/C"
"C11245","c12c(cc3c(c1)[C@H]([C@@H]1[C@@H]([C@@H]3c3cc(c(c(c3)OC)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)C(=O)[O-])OC)C(=O)OC1)O[C@H]1[C@@H]([C@H]([C@H]3[C@H](O1)CO[C@H](O3)C)O)O)OCO2"
"C11249","C1CCCCC1"
"C11250","c12c3c(C(CCc2cc(c(c1OC)OC)OC)NC)cc(=O)c(cc3)OC"
"C11272","c1ccccc1F"
"C11277","c12c(ncn1CCOCP(=O)(O)O)c(ncn2)N"
"C11278","C(=O)(NCC(=O)O)C(NC(=O)CCC(C(=O)O)N)CS[C@H]1[C@@H](C2c3c4c(c5c(c(=O)o4)C(=O)CC5)c(cc3OC2O1)OC)O"
"C11300","c1cccc(c1)[C@@H]1CCCC[C@@H]([C@@H](/C=C/[C@H](C)[C@H]2[C@H]([C@H](O)[C@@H](OC)[C@@](O2)([C@@H](C(=O)O1)C)O)C)OC)OC"
"C11310","c1cccc(c1)c1cc[n+](cc1)C"
"C11348","c1(ccccc1)[C@H](C)O"
"C11351","[C@H]1([C@H]([C@@H]([C@H]([C@@H]([C@H]1OP(=O)(O)O)O)O)N)O)NC(=N)N"
"C11352","C1=CC(C(C=C1)Cl)Cl"
"C11354","C(=C\C=C(/C(=O)O)\O)\C"
"C11355","[C@H]1(C=C(C=C[C@H]1N)C(=O)O)OC(=C)C(=O)O"
"C11356","O(P(=O)(OP(=O)(O)O)O)C/C=C(\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C"
"C11359","C1CN([C@@H](C1)CC(=O)C)C"
"C11363","c1(c(c(c2c(c1Br)C(OC2=O)(c1cc(c(cc1)O)S(=O)(=O)O)c1cc(c(cc1)O)S(=O)(=O)O)Br)Br)Br"
"C11376","O([C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)C(=O)O)c1cc2c(c3Cn4c(=O)c5c(cc4c3nc2cc1)[C@](C(=O)OC5)(CC)O)CC"
"C11379","c1ccc2c(c1)c(ccn2)[C@H]([C@H]1N2C[C@@H](C(CC2)C1)C=C)O"
"C11383","[C@H]1(CC(=O)C(=CC1)C)C(=C)C"
"C11384","[C@H](CCC=C(C)C)(CC=O)C"
"C11386","[C@H](CCC=C(C)C)(CCO)C"
"C11388","C[C@](C=C)(CCC=C(C)C)O"
"C11389","C(=C)[C@@](CCC=C(C)C)(C)O"
"C11393","[C@@H]1(CCC(=CC1)C)C(C)(C)O"
"C11395","C1=C([C@@H](C[C@@H](C1)C(=C)C)O)C"
"C11396","C1C[C@H](C[C@H]([C@@H]1C)O)C(=C)C"
"C11397","C1C[C@H](C[C@@H]([C@@H]1C)O)C(=C)C"
"C11398","C1C[C@H](CC(=O)[C@@H]1C)C(=C)C"
"C11399","C1C[C@H](C[C@@H]([C@H]1C)O)C(=C)C"
"C11400","C1C[C@H](C[C@H]([C@H]1C)O)C(=C)C"
"C11401","C1C[C@H](CC(=O)[C@H]1C)C(=C)C"
"C11402","C1[C@H](OC(=O)C[C@@H](C1)C(=C)C)C"
"C11403","[C@H]1(C(=O)OC[C@@H](CC1)C(=C)C)C"
"C11404","C(O)(C)CC[C@H](CC(=O)O)C(=C)C"
"C11405","C(=O)(O)C[C@@H](CCC(=O)C)C(=C)C"
"C11406","C(=O)(C(CC[C@@H](C(=C)C)CO)C)O"
"C11407","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)C[C@@H](CCC(=O)C)C(=C)C"
"C11408","C1=C([C@H](C[C@H](C1)C(=C)C)O)C"
"C11409","C1=C([C@@H](C[C@H](C1)C(=C)C)O)C"
"C11410","C1C[C@@H](C[C@@H]([C@@H]1C)O)C(=C)C"
"C11411","C1C[C@@H](C[C@H]([C@@H]1C)O)C(=C)C"
"C11412","C1C[C@@H](CC(=O)[C@@H]1C)C(=C)C"
"C11413","C1C[C@@H](C[C@@H]([C@H]1C)O)C(=C)C"
"C11414","[C@@H]1(OC(=O)C[C@H](CC1)C(=C)C)C"
"C11415","C1C[C@@H](CC(=O)[C@H]1C)C(=C)C"
"C11416","C1C[C@@H](C[C@H]([C@H]1C)O)C(=C)C"
"C11417","C(O)(CC[C@@H](CC(=O)O)C(=C)C)C"
"C11418","[C@H]1(C(=O)OC[C@H](CC1)C(=C)C)C"
"C11419","C(=O)(O)C[C@H](CCC(=O)C)C(=C)C"
"C11420","C(=O)(C(CC[C@@H](CO)C(=C)C)C)O"
"C11421","S(CCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=O)C[C@H](CCC(=O)C)C(=C)C"
"C11422","c1cc2c(cccc2)c2c1cccc2"
"C11425","c1cc2c(OC(C=C2)(O)C(=O)O)c2c1cccc2"
"C11426","c1cc(c(O)c2c1cccc2)/C=C/C(=O)C(=O)O"
"C11427","c1cc(c(c2c1cccc2)O)C=O"
"C11428","[C@H]1([C@H](c2c(cccc2)c2c1cccc2)O)O"
"C11429","[C@@H]12[C@@H](c3c(cccc3)c3c1cccc3)O2"
"C11430","c1(cc2c(cccc2)c2c1cccc2)O"
"C11431","c1cc2c(C=C[C@@H]3[C@H]2O3)c2c1cccc2"
"C11432","c1cc2c(cccc2O)c2c1cccc2"
"C11433","c1cc2c(cccc2OC)c2c1cccc2"
"C11434","C([C@@]([C@@H](COP(=O)(O)O)O)(O)C)O"
"C11435","n1(c(=O)nc(cc1)N)[C@H]1[C@@H]([C@@H]([C@H](O1)COP(=O)(OP(=O)(OC[C@H]([C@@](CO)(C)O)O)O)O)O)O"
"C11436","n1(c(=O)nc(cc1)N)[C@H]1[C@@H]([C@@H]([C@H](O1)COP(=O)(OP(=O)(OC[C@H]([C@](CO)(OP(=O)(O)O)C)O)O)O)O)O"
"C11437","C(=O)([C@H]([C@@H](COP(=O)(O)O)O)O)C"
"C11453","P1(=O)(O[C@@]([C@@H](COP(=O)(O1)O)O)(C)CO)O"
"C11455","C12=C(C3=CC[C@@H]([C@]3(CC2)C)[C@@H](CCC=C(C)C)C)CC[C@@H]2[C@@]1(CC[C@@H](C2(C)C)O)C"
"C11457","c1ccc(cc1CCC(=O)O)O"
"C11460","C1(C(=O)[C@H]([C@H]([C@H](O1)OP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)c(c2)C)C[C@@H]1O)O)O)O)O)(C)C"
"C11472","[C@H]1([C@H]([C@@H]([C@@H]([C@@H](O1)OP(=O)(O)O)O)O)O)[C@H](O)COP(=O)(O)O"
"C11481","S(=O)([O-])O"
"C11499","OC(=O)[C@@H](CS(=O)(=O)O)O"
"C11508","C12=CC[C@@H]([C@]2(CCC2=C1CC[C@@H]1[C@@]2(CC[C@@H]([C@H]1C)O)C)C)[C@@H](CCC(=C)C(C)C)C"
"C11512","[C@H]1([C@H](CCC1=O)CC(=O)OC)C/C=C\CC"
"C11516","[C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)CO)OC(C(=O)O)COP(=O)(O)O"
"C11519","N(C1CCCCC1)C=O"
"C11520","[N+](#[C-])C1CCCCC1"
"C11521","S(=O)(=O)(O)C[C@H]1O[C@H](OP(=O)(OP(=O)(OC[C@H]2O[C@@H](n3c(=O)[nH]c(=O)cc3)[C@@H]([C@@H]2O)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O"
"C11522","C1[C@@H]([C@H](C2[C@](C1)(C1C(=CC2)C2[C@](CC1)(C(CC2)[C@@H](CCC(=C)C(C)C)C)C)C)C)O"
"C11523","C1[C@@H]([C@H]([C@H]2[C@](C1)([C@@H]1C(=CC2)[C@H]2[C@](CC1)([C@H](CC2)[C@@H](CC/C(=C/C)/C(C)C)C)C)C)C)O"
"C11526","OP(=O)(O[C@@H]1[C@H](OP(=O)(O)O)[C@H]([C@H](OP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O)OP(=O)(O)O)O"
"C11536","OC(=O)[C@H](CS(=O)(=O)O)OP(=O)(O)O"
"C11537","OC(=O)[C@H](CS(=O)(=O)O)O"
"C11538","C12=NC(=Cc3c(c(c4n3[Co]N3C(=C2)[C@]([C@@H](C3=CC2=NC(=C4)C(=C2CC(=O)O)CCC(=O)O)CCC(=O)O)(CC(=O)O)C)CCC(=O)O)CC(=O)O)[C@]([C@@H]1CCC(=O)O)(CC(=O)O)C"
"C11539","C12=NC(=C(c3c(c(c4n3[Co]N3C(=C2)[C@]([C@@H](C3=CC2=NC(=C(C2CC(=O)O)CCC(=O)O)C4)CCC(=O)O)(CC(=O)O)C)CCC(=O)O)CC(=O)O)C)[C@]([C@@H]1CCC(=O)O)(CC(=O)O)C"
"C11540","C12=CC3=NC(=Cc4c(c(c5n4[Co]N2C2([C@]([C@@H]1CCC(=O)O)(CC(=O)OC2C)C)C1=C([C@](C(=N1)C5)(CCC(=O)O)C)CC(=O)O)CCC(=O)O)CC(=O)O)[C@H]([C@@]3(CC(=O)O)C)CCC(=O)O"
"C11542","C\1/2=C/C3=NC(=C([C@@]3(CC(=O)O)C)CCC(=O)O)C[C@]3(C(=C(C(=N3)CC3=NC(=C([C@]3(CCC(=O)O)C)CC(=O)O)[C@](N2[Co])([C@]([C@@H]1CCC(=O)O)(CC(=O)O)C)C)CCC(=O)O)CC(=O)O)C"
"C11543","C\1/2=C/C3=NC(=C([C@@]3(CC(=O)O)C)CCC(=O)O)C[C@]3(C(=C(C(=N3)CC3=N[C@@H]([C@](N2[Co])([C@]([C@@H]1CCC(=O)O)(CC(=O)O)C)C)[C@@H]([C@]3(CCC(=O)O)C)CC(=O)O)CCC(=O)O)CC(=O)O)C"
"C11544","[C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)CO)O[C@@H](C(=O)O)CO"
"C11545","C\1/2=C(/C3=NC(=C([C@@]3(CC(=O)O)C)CCC(=O)O)C[C@]3(C(=C(C(=N3)C(C3=N[C@@H]([C@](N2[Co])([C@]([C@@H]1CCC(=O)O)(CC(=O)O)C)C)[C@@H]([C@]3(CCC(=O)O)C)CC(=O)O)C)CCC(=O)O)C)C)\C"
"C11554","OP(=O)(O)O[C@H]1[C@H]([C@H]([C@@H]([C@@H](O)[C@@H]1OP(=O)(O)O)O)OP(=O)(OC[C@@H](COC(=O)*)OC(=O)*)O)O"
"C11555","P(=O)(O[C@@H]1[C@@H](OP(=O)(O)O)[C@@H]([C@@H](O)[C@H]([C@H]1OP(=O)(O)O)O)OP(=O)(O)O)(O)O"
"C11556","OP(=O)(O)O[C@@H]1[C@H]([C@H](OP(=O)(O)O)[C@H]([C@@H]([C@@H]1O)OP(=O)(OC[C@@H](COC(=O)*)OC(=O)*)O)O)O"
"C11557","O[C@@H]1[C@H]([C@H](OP(=O)(O)O)[C@H]([C@@H]([C@@H]1O)OP(=O)(OC[C@@H](COC(=O)*)OC(=O)*)O)O)O"
"C11583","C(C(=O)NCC(=O)O)(NC(=O)CCC(C(=O)O)N)CSC1NP(=O)(N(CCCl)CCCl)OCC1"
"C11587","c1(c[nH]c2c1cccc2)C[C@@H]1C(=O)N[C@H](CC(=O)O)C(=O)N2[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CC(C)C)C(C)C)CCC2"
"C11588","C1=C([C@H]([C@H](C=C1)O)O)CCC(=O)O"
"C11596","[C@H](C(=O)O)(NC(=O)[C@@H](NC(=O)[C@@H](NC=O)CCSC)CC(C)C)Cc1ccccc1"
"C11612","N1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCNC(=O)[C@@H]1[C@@H](C)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CCCCC(C*)C)CCN)[C@H](O)C)CCN)CCN)Cc1ccccc1)CC(C)C)CCN)CCN"
"C11615","C1C(=O)CC2N(C1)C(=O)C(N(C(=O)C1N(C(=O)C(NC(=O)C(C(OC(=O)C(NC2=O)c2ccccc2)C)NC(=O)c2c(cccn2)O)CC)CCC1)C)Cc1ccc(cc1)N(C)C"
"C11620","c12c(c(=O)c(c(o1)c1cc(c(c(c1)OC)O)OC)O)c(cc(c2)O)O"
"C11630","c1(c(c(c([nH]1)/C=C\1/C(=C(C(=O)N1)C)C=C)C)CCC(=O)O)/C=C\1/C(=C(C(=N1)C[C@@H]1C(=C(C(=O)N1)C=C)C)C)CCC(=O)O"
"C11632","c1ccc2c(c1)c1c([nH]2)[C@H]2N3[C@@H](C1)C([C@H](C2)/C(=C\C)/C3)(C=O)C(=O)OC"
"C11633","c1ccc2c(c1)c1c([nH]2)[C@H]2N3[C@@H](C1)[C@H]([C@H](C2)/C(=C\C)/C3)C=O"
"C11634","c1ccc2c(c1)c1c([nH]2)[C@H]2N3[C@@H](C1)[C@@H]([C@H](C2)/C(=C\C)/C3)C=O"
"C11635","c1ccc2c(c1)c1c([nH]2)[C@H]2N3[C@@H](C1)C([C@H](C2)/C(=C\C)/C3)CO"
"C11636","[C@@H]12[C@@H](C(=CO[C@H]1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C(=O)O)CC[C@@H]2C"
"C11638","P(=O)(OCC(=O)CN)(O)O"
"C11641","[C@@]123[C@@H]4[C@]([C@H]([C@@]([C@@H]1N(c1c2cc(c(c1)OC)[C@@]1(c2c(c5c([nH]2)cccc5)CCN2C[C@@H](C1)C=C(C2)CC)C(=O)OC)C)(C(=O)OC)O)OC(=O)C)(C=CCN4CC3)CC"
"C11642","[C@@]123[C@@H]4[C@](CC(=C1Nc1c2cccc1)C(=O)OC)(C=CCN4CC3)C(C)O"
"C11643","[C@@]123[C@@H]4[C@](CC(=C1Nc1c2ccc(c1)O)C(=O)OC)(C=CCN4CC3)CC"
"C11672","[C@@H]12[C@@H](C(=CO[C@H]1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C(=O)O)CC=C2C"
"C11673","[C@@H]12[C@@H](C(=CO[C@H]1O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C(=O)O)CC=C2CO"
"C11675","[C@@]123[C@@H]4[C@](CC(=C1Nc1c2ccc(c1)OC)C(=O)OC)(C=CCN4CC3)CC"
"C11676","[C@@]123[C@@H]4[C@](CC(=C1Nc1c2cccc1)C(=O)OC)(C1C(CN4CC3)O1)CC"
"C11677","[C@@]123[C@@H]4[C@](CC(=C1Nc1c2cccc1)C(=O)OC)(C1C(CN4CC3)O1)C(C)O"
"C11678","[C@H]1(NCCc2c1[nH]c1c2cccc1)C[C@H](/C(=C/O)/C(=O)OC)[C@@H](C=C)C=O"
"C11679","[C@@H]12c3c(CC[N+]2=C[C@@H]([C@H](C1)/C(=C/O)/C(=O)OC)C=C)c1c([nH]3)cccc1"
"C11680","c1ccc2c(c1)c1CCN3[C@@H](C[C@H]4C(=C3)[C@@H](OC=C4C(=O)OC)C)c1[nH]2"
"C11681","c1ccc2c(c1)c1CCN3[C@@H](C[C@H]4C(=C3)[C@H](OC=C4C(=O)OC)C)c1[nH]2"
"C11682","c1ccc2c(c1)c1CCN3[C@@H](C[C@H]4[C@@H](C3)[C@@H](OC=C4C(=O)OC)C)c1[nH]2"
"C11683","c1ccc2c(c1)c1CCN3[C@@H](C[C@H]4[C@H](C3)[C@H](OC=C4C(=O)OC)C)c1[nH]2"
"C11684","c1c(ccc(c1)C[C@H](N)C(=O)NCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)O)CCSC)Cc1ccccc1)O"
"C11688","c12n3c([C@@H](NC(=O)c1cccc2)CC1(C2N(c4c1cccc4)C(=O)[C@@H](N2)CC(C)C)O)nc1c(c3=O)cccc1"
"C11691","c12c(cccc1)[nH]c1[C@]([C@H]3CCN(CCc21)C/C/3=C/C)(C(=O)OC)CO"
"C11695","C(=C\C/C=C\C/C=C\CCCCC)\C/C=C\CCCC(=O)NCCO"
"C11700","[C@H]12[C@]3([C@H](OC3)C[C@@H]([C@]2(C(=O)[C@@H](C2=C([C@H](C[C@@]([C@H]1OC(=O)c1ccccc1)(C2(C)C)O)O)C)O)C)O)OC(=O)C"
"C11711","[C@H]1(CCCN1C(=O)CCC(=O)O)C(=O)O"
"C11712","N1(CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)O)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(=O)[C@H]1N(CCC1)C(=O)[C@H](Cc1c2c([nH]c1)cccc2)NC(=O)[C@@H]1CCC(=O)N1)CCCNC(=N)N)CCC(=O)N)[C@H](CC)C"
"C11713","c1ccc2c(c1)cc(cc2)O"
"C11714","c1ccc2c(c1)c(ccc2)O"
"C11733","[N+](CCCCCCCCCC[N+](C)(C)C)(C)(C)C"
"C11736","[C@H]1(O[C@@H]([C@H](C1)O)CO)n1c(=O)[nH]c(=O)c(c1)F"
"C11754","[C@@H]12N(C(=C(CS1)C[n+]1ccccc1)C(=O)[O-])C(=O)[C@H]2NC(=O)Cc1sccc1"
"C11755","N12[C@@H]([C@@H](C2=O)[C@@H](OS(=O)(=O)O)C)CC(=C1C(=O)O)S/C=C/NC(=O)C"
"C11760","CCN(CC(COC(=O)C(c1ccccc1)CO)(C)C)CC"
"C11772","c1(c(ccc(c1)[C@H](CNC(C)C)O)Cl)Cl"
"C11783","[C@@]123[C@@H]4[C@](CC(=C1Nc1c2cccc1)C(=O)OC)(CCCN4CC3)C(C)O"
"C11784","[C@@]123[C@@H]4[C@](CC(=C1Nc1c2cccc1)C(=O)OC)(CCCN4CC3)C(C)OC(=O)C"
"C11785","[C@@]123c4c5O[C@H]2[C@H](C=C[C@H]1[C@@H](Cc4ccc5O)NCC3)O"
"C11790","C(Cc1ccccc1)N1[C@H]2[C@@H]([C@](c3c(C2)ccc(c3)O)(CC1)C)C"
"C11791","[C@@]12(c3c(C[C@H](C1(C)C)N(CC2)CC1(CC1)O)ccc(c3)O)CC"
"C11800","c1(c[nH]cn1)CSCCNC(=S)NC"
"C11807","c1ccc2c(c1)[C@@]13C(=N2)[C@H]2N4[C@@H](C1)C([C@H](C2)/C(=C\C)/C4)[C@H]3OC(=O)C"
"C11808","c1ccc2c(c1)[C@@]13[C@@H](N2)[C@H]2N4[C@@H](C1)C([C@H](C2)/C(=C\C)/[C@H]4O)[C@H]3OC(=O)C"
"C11809","c1ccc2c(c1)[C@@]13[C@@H](N2)[C@H]2N4[C@@H](C1)C([C@H](C2)[C@@H]([C@H]4O)CC)[C@H]3OC(=O)C"
"C11810","c1ccc2c(c1)[C@@]13[C@@H](N2)[C@H]2N4[C@@H](C1)C([C@H](C2)[C@@H]([C@H]4O)CC)[C@H]3O"
"C11811","O(P(=O)(O)O)P(=O)(OC/C=C(/CO)\C)O"
"C11812","[C@@]123[C@@H]4[C@](CC(=C1Nc1c2ccc(c1)OC)C(=O)OC)(C1C(CN4CC3)O1)CC"
"C11813","[C@@H]12c3c(CCN1C(=O)C1=CO[C@H]([C@@H]([C@@H]1C2)C=C)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)cc(c(c3)O)O"
"C11814","[C@H]12c3c(CCN1C(=O)C1=CO[C@H]([C@@H]([C@@H]1C2)C=C)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)cc(c(c3)O)O"
"C11815","[C@H]12c3c(CCN1C(=O)C1=CO[C@H]([C@@H]([C@@H]1C2)C=C)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)cc(c(c3)O)OC"
"C11816","[C@H]12c3c(CCN1C[C@@H]([C@H](C2)CC=O)CC)cc(c(c3)OC)OC"
"C11817","c12c(c3c([nH]2)cccc3)CCN[C@@H]1C[C@H]1C[C@H]2c3c(cc(c(c3)OC)OC)CCN2C[C@@H]1CC"
"C11818","[C@@H]12c3c(cc4c(c3)OCO4)CCN1Cc1c(C2)ccc(c1OC)OC"
"C11821","N1C(=O)N=C2C(C1=O)(NC(=N2)O)O"
"C11829","c12=CC3=NC(=Cc4n5c(c(c4C)C=C)C=C4N=C(C=c(n1[Mg]5)c(c2C(O)CC(=O)OC)C)C(=C4C)C=C)C(=C3CCC(=O)O)C"
"C11830","c12=CC3=NC(=Cc4n5c(c(c4C)C=C)C=C4N=C(C=c(n1[Mg]5)c(c2C(=O)CC(=O)OC)C)C(=C4C)C=C)C(=C3CCC(=O)O)C"
"C11831","c12=C3C4=NC(=Cc5n6c(c(c5C)C=C)C=C5N=C(C=c(n1[Mg]6)c(c2C(=O)[C@@H]3C(=O)OC)C)C(=C5C)C=C)C(=C4CCC(=O)O)C"
"C11832","c12=C3C4=NC(=Cc5n6c(c(c5C)C=C)C=C5N=C(C=c(n1[Mg]6)c(c2C(=O)[C@@H]3C(=O)OC)C)C(=C5C)C=C)[C@H]([C@@H]4CCC(=O)O)C"
"C11842","C1(CCOC1=O)NC(=O)C[C@H](C)O"
"C11849","O(C(=O)CC(CCCCCCCCCCCCC)O)C"
"C11850","C(C[C@@H](CCC[C@@H](CCCC(C)C)C)C)C/C(=C/COC(=O)CC[C@@H]1C2=NC(=Cc3n4[Mg]n5c6=C2[C@H](C(=O)c6c(c5=CC2=NC(=Cc4c(c3C)C=C)C(=C2C=C)C)C)C(=O)OC)[C@H]1C)/C"
"C11851","C(C[C@@H](CCC[C@@H](CCCC(C)C)C)C)C/C(=C/COC(=O)CC[C@@H]1C2=NC(=Cc3n4[Zn]n5c6=C2[C@H](C(=O)c6c(c5=CC2=NC(=Cc4c(c3C)C(=O)C)[C@@H]([C@H]2CC)C)C)C(=O)OC)[C@H]1C)/C"
"C11853","[C@@]123[C@H]([C@H]4[C@]([C@@H]1CC[C@H](C2)C(=C)C3)(CC[C@@H]([C@]4(C(=O)O)C)O)C)C=O"
"C11854","[C@@]123[C@H]([C@H]4C(=CC(=O)C[C@]4(C(=O)O)C)[C@@H]1CC[C@H](C2)C(=C)C3)C(=O)O"
"C11855","[C@@]123[C@H]([C@H]4C(=CC(=O)C[C@]4(C(=O)O)C)[C@@H]1CC[C@](C2)(C(=C)C3)O)C(=O)O"
"C11857","[C@@]123[C@H]([C@H]4[C@]([C@@H]1CC[C@H](C2)C(=C)C3)(CCC[C@]4(C(=O)O)C)C)C(=O)O"
"C11858","[C@@]123[C@H]([C@H]4[C@]([C@@H]1CC[C@H](C2)C(=C)C3)(CC[C@@H]([C@]4(C(=O)O)C)O)C)C(=O)O"
"C11859","[C@@]123[C@H]([C@H]4[C@]([C@@H]1CC[C@H](C2)C(=C)C3)(CC[C@@H]([C@]4(C(=O)O)C)O)CO)C(=O)O"
"C11860","[C@@]123[C@H]([C@H]4[C@]([C@@H]1CC[C@H](C2)C(=C)C3)(CCC[C@]4(C(=O)O)C)CO)C(=O)O"
"C11861","[C@@]123[C@H]([C@H]4[C@]([C@@H]1CC[C@H](C2)C(=C)C3)(CCC[C@]4(C(=O)O)C)C=O)C(=O)O"
"C11862","[C@@]123[C@H]([C@H]4[C@]([C@@H]1CC[C@H](C2)C(=C)C3)(CC[C@@H]([C@]4(C(=O)O)C)O)C=O)C(=O)O"
